AOI,Reflectivity,Relative PDE,Transmittance
19.61688,0.334614,0.8,0.5323088
21.92674,0.336398,0.8,0.5308816
24.36815,0.330929,0.8,0.5352568
26.55010,0.332150,0.8,0.53428
29.51175,0.326529,0.8,0.5387768
30.63514,0.334861,0.8,0.5321112
34.20739,0.333041,0.8,0.5335672
35.72635,0.332204,0.8,0.5342368
39.24154,0.333049,0.8,0.5335608
42.48444,0.330834,0.8,0.5353328
44.04762,0.324360,0.8,0.540512
46.90170,0.313337,0.8,0.5493304
46.96082,0.322345,0.8,0.542124
49.20637,0.314188,0.8,0.5486496
51.92968,0.312242,0.8,0.5502064
55.22721,0.313497,0.8,0.5492024
56.74735,0.305096,0.8,0.5559232
59.14412,0.292460,0.8,0.566032
61.79650,0.298546,0.8,0.5611632
65.93318,0.275539,0.8,0.5795688
74.25948,0.226567,0.8,0.6187464
